case,tool,runtime_sec,error,extraction_success,cell_recall,value_accuracy,structure_score,exact_matches,fuzzy_matches,total_gt_cells,n_extracted_tables,extracted_rows,extracted_cols,gt_rows,gt_cols
01_clean_borders,pdfplumber,0.462,,True,1.0,1.0,1.0,78,0,78,1,13,6,13,6
01_clean_borders,camelot-lattice,3.28,,True,1.0,1.0,1.0,78,0,78,1,13,6,13,6
01_clean_borders,camelot-stream,0.023,,True,1.0,1.0,1.0,78,0,78,1,13,6,13,6
01_clean_borders,ocr-tesseract,3.758,,True,0.923,1.0,0.5,72,0,78,1,13,16,13,6
02_borderless,pdfplumber,0.015,,False,0.0,0.0,0.0,0,0,36,0,0,0,9,4
02_borderless,camelot-lattice,0.356,,False,0.0,0.0,0.0,0,0,36,0,0,0,9,4
02_borderless,camelot-stream,0.012,,True,1.0,1.0,1.0,36,0,36,1,9,4,9,4
02_borderless,ocr-tesseract,2.099,,True,0.528,1.0,0.5,19,0,36,1,9,10,9,4
03_merged_cells,pdfplumber,0.024,,True,0.867,1.0,0.917,26,0,30,1,7,5,6,5
03_merged_cells,camelot-lattice,0.519,,True,0.867,1.0,0.917,26,0,30,1,7,5,6,5
03_merged_cells,camelot-stream,0.017,,True,0.867,1.0,0.833,26,0,30,1,8,5,6,5
03_merged_cells,ocr-tesseract,2.243,,True,0.7,1.0,0.333,21,0,30,1,8,16,6,5
04_multirow_header,pdfplumber,0.037,,True,1.0,1.0,1.0,66,0,66,1,11,6,11,6
04_multirow_header,camelot-lattice,0.394,,True,1.0,1.0,1.0,66,0,66,1,11,6,11,6
04_multirow_header,camelot-stream,0.021,,True,0.909,1.0,0.955,60,0,66,1,12,6,11,6
04_multirow_header,ocr-tesseract,5.503,,True,0.636,1.0,0.455,42,0,66,1,12,16,11,6
05_rotated_page,pdfplumber,0.029,,True,1.0,1.0,0.708,48,0,48,1,6,8,8,6
05_rotated_page,camelot-lattice,0.559,,True,1.0,1.0,1.0,48,0,48,1,8,6,8,6
05_rotated_page,camelot-stream,0.017,,True,1.0,1.0,1.0,48,0,48,1,8,6,8,6
05_rotated_page,ocr-tesseract,3.046,,True,0.875,0.952,0.521,40,2,48,1,13,8,8,6
06_scanned_no_text,pdfplumber,0.003,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
06_scanned_no_text,camelot-lattice,0.003,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
06_scanned_no_text,camelot-stream,0.001,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
06_scanned_no_text,ocr-tesseract,2.838,,True,0.911,0.854,0.5,35,6,45,1,9,13,9,5
07_scanned_noisy,pdfplumber,0.003,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
07_scanned_noisy,camelot-lattice,0.002,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
07_scanned_noisy,camelot-stream,0.002,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
07_scanned_noisy,ocr-tesseract,1.841,,False,0.0,0.0,0.0,0,0,45,0,0,0,9,5
08_table_two_pages,pdfplumber,0.069,,True,1.0,1.0,0.978,115,0,115,2,24,5,23,5
08_table_two_pages,camelot-lattice,0.924,,True,1.0,1.0,0.978,115,0,115,2,24,5,23,5
08_table_two_pages,camelot-stream,0.033,,True,1.0,1.0,0.978,115,0,115,2,24,5,23,5
08_table_two_pages,ocr-tesseract,7.594,,True,0.8,1.0,0.478,92,0,115,2,24,12,23,5
09_mixed_languages,pdfplumber,0.026,,True,0.914,0.844,1.0,27,5,35,1,7,5,7,5
09_mixed_languages,camelot-lattice,0.405,,True,0.943,0.818,1.0,27,6,35,1,7,5,7,5
09_mixed_languages,camelot-stream,0.013,,True,0.943,0.818,1.0,27,6,35,1,7,5,7,5
09_mixed_languages,ocr-tesseract,3.977,,True,0.6,0.952,0.5,20,1,35,1,7,16,7,5
10_sparse_empty_cells,pdfplumber,0.032,,True,1.0,1.0,1.0,27,0,27,1,7,5,7,5
10_sparse_empty_cells,camelot-lattice,0.48,,True,1.0,1.0,1.0,27,0,27,1,7,5,7,5
10_sparse_empty_cells,camelot-stream,0.008,,True,1.0,1.0,1.0,27,0,27,1,7,5,7,5
10_sparse_empty_cells,ocr-tesseract,2.153,,True,0.667,1.0,0.5,18,0,27,1,7,16,7,5
